location,sowing_month,soil_type,nitrogen,phosphorus,potassium,ph,rainfall,humidity,crop_suitability
Trichy,Mar,Red Soil,90,22,100,8.2,713,53,No
Salem,May,Loamy,110,15,124,5.3,1257,47,No
Cuddalore,Sep,Loamy,66,77,113,5.8,1125,60,No
Salem,Jan,Black Soil,36,31,50,6.2,727,88,No
Krishnagiri,Jun,Clay,34,73,100,6.6,784,81,No
Trichy,Jul,Red Soil,41,16,105,8.1,953,52,No
Villupuram,Feb,Clay,126,31,106,6.1,424,66,No
Salem,Feb,Clay,81,72,53,4.9,442,76,No
Salem,May,Black Soil,104,42,99,5.5,825,57,No
Madurai,Jun,Black Soil,80,27,97,5.4,654,83,No
Erode,Sep,Sandy Loam,91,48,113,5.5,833,63,No
Tirunelveli,Feb,Black Soil,128,31,94,5.2,760,47,No
Dharmapuri,May,Clay,45,45,42,6.3,1020,68,No
Tirunelveli,Mar,Sandy Loam,97,50,48,4.7,953,58,No
Karur,Dec,Clay,31,76,64,7.9,1042,41,No
Dharmapuri,Apr,Black Soil,88,71,94,5.2,868,70,No
Thanjavur,Dec,Sandy Loam,80,23,50,7.3,1260,63,No
Trichy,Aug,Red Soil,42,67,103,4.7,1166,80,No
Villupuram,Feb,Sandy Loam,114,36,90,7.4,1075,45,No
Villupuram,Oct,Sandy Loam,129,74,117,7.3,979,89,No
Trichy,Jun,Sandy Loam,33,29,109,8.2,909,66,No
Namakkal,Jun,Loamy,75,54,76,7.0,629,46,No
Thanjavur,Oct,Black Soil,105,79,50,7.3,1241,47,No
Thanjavur,Dec,Sandy Loam,89,28,56,6.8,1057,72,No
Coimbatore,Feb,Loamy,85,63,53,8.3,1120,77,No
Trichy,May,Loamy,82,60,122,8.0,647,46,No
Tirunelveli,Mar,Sandy Loam,118,21,47,4.6,541,67,No
Cuddalore,Jan,Red Soil,129,70,37,7.3,766,86,No
Karur,Dec,Black Soil,127,66,34,7.5,1019,82,No
Krishnagiri,Jun,Loamy,97,22,64,7.2,673,45,No
Krishnagiri,Sep,Red Soil,42,53,106,5.0,1007,41,No
Madurai,May,Sandy Loam,122,51,49,5.1,969,43,No
Trichy,Jun,Clay,102,33,110,6.4,826,53,No
Trichy,Feb,Sandy Loam,110,28,35,6.8,646,48,No
Thanjavur,Aug,Clay,125,72,39,8.0,1011,75,No
Namakkal,Dec,Black Soil,49,52,30,7.0,772,68,No
Cuddalore,May,Red Soil,96,31,84,8.2,821,78,No
Villupuram,May,Red Soil,52,36,66,4.6,1048,89,No
Trichy,Sep,Sandy Loam,43,66,47,7.5,482,89,No
Dindigul,May,Loamy,96,72,40,6.9,1221,43,No
Dharmapuri,Sep,Sandy Loam,104,46,49,5.7,491,45,No
Madurai,Aug,Loamy,46,71,33,7.1,683,88,No
Coimbatore,Jul,Black Soil,62,49,56,5.5,461,89,No
Namakkal,May,Sandy Loam,75,79,78,5.6,1259,78,No
Karur,Aug,Red Soil,46,57,78,6.8,577,73,No
Trichy,Nov,Red Soil,117,21,49,5.9,1259,87,No
Thoothukudi,Oct,Clay,82,50,41,6.7,834,56,No
Dharmapuri,Feb,Red Soil,60,44,89,7.7,420,43,No
Cuddalore,Apr,Black Soil,67,19,122,5.8,1245,55,No
Thanjavur,Dec,Red Soil,70,50,80,8.5,996,84,No
Trichy,Aug,Loamy,88,47,104,5.1,469,68,No
Thanjavur,Jan,Sandy Loam,48,39,68,6.0,838,67,No
Thoothukudi,Feb,Black Soil,112,78,105,8.0,537,63,No
Madurai,Jun,Loamy,128,22,79,6.8,819,75,No
Thoothukudi,Apr,Loamy,129,59,114,7.6,786,64,No
Villupuram,Feb,Black Soil,62,64,84,6.1,422,62,No
Cuddalore,Jun,Sandy Loam,119,20,52,4.7,566,51,No
Namakkal,Oct,Loamy,112,26,101,5.8,1202,71,No
Coimbatore,Jun,Sandy Loam,80,77,57,6.3,739,63,No
Dindigul,Apr,Red Soil,84,37,59,5.8,898,58,No
Thanjavur,Dec,Black Soil,123,54,43,7.1,429,79,No
Cuddalore,Jan,Loamy,83,75,58,6.6,411,56,No
Dindigul,Jun,Clay,70,55,79,7.4,642,46,No
Coimbatore,Jan,Sandy Loam,124,69,74,5.9,627,80,No
Salem,Sep,Loamy,55,51,104,7.7,1243,56,No
Karur,Sep,Loamy,124,31,98,6.7,983,65,No
Tirunelveli,Dec,Sandy Loam,52,25,68,8.3,874,51,No
Dharmapuri,Jul,Red Soil,94,17,51,7.6,1124,65,No
Thanjavur,Nov,Red Soil,86,49,60,4.6,775,69,No
Thoothukudi,Oct,Clay,117,61,93,4.7,790,76,No
Salem,Jul,Black Soil,101,60,75,6.5,551,79,No
Salem,Aug,Sandy Loam,69,32,103,8.2,1225,58,No
Villupuram,Feb,Clay,57,69,117,5.2,526,41,No
Dindigul,Sep,Red Soil,63,42,68,7.1,1111,67,No
Coimbatore,Aug,Red Soil,96,54,69,7.7,708,74,No
Cuddalore,Feb,Sandy Loam,52,21,48,6.2,896,69,No
Karur,Apr,Loamy,32,56,66,5.4,889,40,No
Madurai,Nov,Red Soil,110,31,66,5.6,547,42,No
Krishnagiri,Dec,Sandy Loam,94,42,96,7.0,962,69,Yes
Krishnagiri,Mar,Red Soil,59,32,122,7.8,678,54,No
Trichy,May,Loamy,70,44,83,5.2,1048,65,No
Trichy,Oct,Black Soil,104,60,99,7.3,1099,40,No
Salem,Dec,Red Soil,104,27,99,7.3,1137,57,No
Krishnagiri,Jun,Loamy,107,71,108,4.9,840,87,No
Karur,Feb,Sandy Loam,105,18,51,8.1,979,48,No
Trichy,May,Loamy,80,54,88,4.5,406,82,No
Tirunelveli,Sep,Clay,50,50,119,4.5,696,77,No
Tirunelveli,Mar,Red Soil,51,64,92,6.0,649,51,No
Villupuram,Sep,Sandy Loam,64,27,87,5.0,406,45,No
Dindigul,Aug,Black Soil,77,24,69,6.5,597,81,No
Madurai,Jan,Sandy Loam,99,51,95,5.6,585,43,No
Villupuram,Feb,Loamy,129,32,40,6.8,746,55,No
Villupuram,Aug,Loamy,66,46,44,5.5,1281,62,No
Tirunelveli,Jun,Red Soil,119,18,106,5.0,410,52,No
Thanjavur,Nov,Black Soil,34,21,109,6.4,1295,83,No
Coimbatore,Jun,Red Soil,106,67,107,5.8,677,88,No
Namakkal,Feb,Black Soil,85,51,56,4.9,844,74,No
Thanjavur,May,Red Soil,115,44,37,6.8,734,88,No
Tirunelveli,Aug,Black Soil,59,67,71,5.5,692,46,No
Cuddalore,Sep,Red Soil,117,46,117,7.2,950,82,No
Thoothukudi,Mar,Red Soil,54,71,119,5.9,1146,46,No
Coimbatore,Feb,Red Soil,73,67,69,4.7,960,58,No
Madurai,May,Red Soil,50,51,69,4.8,1031,58,No
Coimbatore,Jul,Red Soil,67,17,108,8.3,1297,43,No
Coimbatore,Jul,Black Soil,126,53,68,7.7,640,67,No
Thanjavur,Nov,Red Soil,78,63,55,6.3,449,49,No
Thoothukudi,Sep,Black Soil,45,34,43,5.7,1068,78,No
Salem,Jul,Clay,81,24,116,8.4,680,43,No
Karur,May,Black Soil,43,74,84,8.1,746,58,No
Dindigul,Jul,Clay,84,42,41,4.5,757,45,No
Namakkal,Jul,Black Soil,34,79,74,6.1,1005,59,No
Dharmapuri,Dec,Clay,33,44,35,7.9,469,65,No
Villupuram,May,Clay,52,15,75,8.2,989,83,No
Karur,May,Red Soil,43,39,89,6.9,1096,43,No
Madurai,Feb,Red Soil,56,32,122,4.7,1127,55,No
Salem,May,Clay,105,67,37,6.5,528,80,No
Erode,Dec,Black Soil,41,70,120,5.0,442,83,No
Karur,Aug,Red Soil,83,62,125,7.7,986,48,No
Tirunelveli,Nov,Sandy Loam,112,24,111,5.3,1124,84,No
Dindigul,May,Black Soil,99,46,80,4.5,592,89,No
Namakkal,Jan,Black Soil,85,66,121,5.2,1200,56,No
Namakkal,Oct,Loamy,35,53,98,7.8,1190,46,No
Thoothukudi,Jul,Sandy Loam,33,39,94,7.7,468,61,No
Erode,Mar,Sandy Loam,124,69,80,8.2,1025,71,No
Madurai,Sep,Sandy Loam,103,40,83,7.1,439,52,No
Salem,Jan,Black Soil,86,24,72,8.1,1024,52,No
Dindigul,Dec,Clay,76,43,70,7.4,1277,42,No
Salem,Dec,Red Soil,116,22,113,8.4,479,58,No
Karur,Jul,Red Soil,81,25,94,8.4,1186,73,No
Coimbatore,Jan,Sandy Loam,49,16,126,7.9,1226,66,No
Cuddalore,Apr,Sandy Loam,84,71,96,8.1,509,60,No
Coimbatore,Aug,Black Soil,77,69,65,7.0,802,71,No
Krishnagiri,May,Loamy,50,64,118,7.8,768,45,No
Dharmapuri,May,Red Soil,49,74,114,7.4,1287,73,No
Thoothukudi,Oct,Red Soil,30,17,58,4.8,1251,73,No
Trichy,Aug,Sandy Loam,92,20,59,7.4,406,51,No
Villupuram,Oct,Clay,50,39,119,8.5,1047,64,No
Karur,Jan,Black Soil,51,30,93,6.6,1013,57,No
Thoothukudi,Apr,Black Soil,66,37,30,5.7,475,53,No
Trichy,Oct,Sandy Loam,92,70,88,8.2,1279,81,No
Namakkal,Mar,Red Soil,113,31,123,4.7,720,40,No
Cuddalore,Aug,Clay,64,32,118,4.7,1221,60,No
Thanjavur,Aug,Clay,37,38,49,5.4,866,69,No
Salem,Dec,Black Soil,89,64,91,5.6,619,40,No
Tirunelveli,Oct,Loamy,90,72,44,4.8,523,43,No
Dindigul,Jul,Clay,73,51,90,5.1,723,84,No
Salem,Mar,Clay,113,43,64,5.2,604,77,No
Madurai,Jan,Red Soil,90,30,92,7.6,997,71,No
Coimbatore,Nov,Loamy,120,74,50,8.3,811,51,No
Erode,Jun,Black Soil,35,44,100,4.6,914,77,No
Karur,Sep,Sandy Loam,72,49,110,6.2,826,44,No
Salem,Jan,Clay,42,24,109,4.9,1155,61,No
Erode,Sep,Black Soil,33,61,55,6.1,447,72,No
Erode,Feb,Clay,107,66,46,7.3,1113,70,No
Dindigul,Jun,Black Soil,109,67,120,6.8,1298,43,No
Namakkal,Mar,Loamy,30,75,103,4.8,1046,74,No
Krishnagiri,Jan,Loamy,95,66,41,6.3,947,84,No
Coimbatore,May,Clay,107,72,81,7.9,1097,52,No
Tirunelveli,Jun,Red Soil,60,61,121,4.6,406,82,No
Trichy,Jul,Sandy Loam,49,28,60,6.6,425,56,No
Trichy,Nov,Loamy,47,66,42,6.7,933,70,No
Dindigul,May,Clay,42,64,32,4.5,1042,89,No
Dharmapuri,Nov,Clay,112,55,88,6.0,597,44,No
Krishnagiri,Jun,Black Soil,54,26,33,6.0,1215,71,No
Cuddalore,Nov,Clay,89,20,88,5.6,1193,79,No
Namakkal,May,Red Soil,88,67,93,7.7,1084,55,No
Dindigul,Apr,Sandy Loam,52,22,74,6.3,763,47,No
Salem,Jun,Black Soil,102,18,49,7.0,518,48,No
Thanjavur,Feb,Black Soil,81,63,95,7.2,454,61,No
Krishnagiri,Jun,Black Soil,51,71,107,8.4,734,61,No
Madurai,Mar,Black Soil,41,77,51,8.3,619,73,No
Madurai,Dec,Sandy Loam,118,29,128,7.0,566,61,No
Coimbatore,Jun,Sandy Loam,112,45,81,8.4,799,65,No
Salem,Mar,Sandy Loam,91,15,46,8.0,1190,60,No
Cuddalore,Oct,Loamy,79,46,117,4.6,1061,89,No
Salem,Jun,Clay,63,35,117,5.3,1288,69,No
Krishnagiri,Jun,Red Soil,101,50,113,4.7,726,72,No
Erode,Jun,Black Soil,63,21,33,8.0,1253,42,No
Krishnagiri,Feb,Clay,90,44,39,6.2,481,85,No
Villupuram,Apr,Black Soil,60,63,50,5.9,447,51,No
Trichy,Mar,Clay,56,69,112,5.2,762,82,No
Erode,Sep,Red Soil,37,37,30,5.2,772,49,No
Madurai,Jun,Black Soil,48,48,117,7.5,1292,60,No
Madurai,Apr,Loamy,80,28,83,5.3,809,49,No
Dindigul,Aug,Clay,80,23,129,8.2,964,69,No
Dharmapuri,May,Sandy Loam,62,59,60,7.3,1125,76,No
Dharmapuri,Aug,Clay,125,21,62,7.3,1042,51,No
Erode,Apr,Loamy,114,53,114,4.8,432,51,No
Krishnagiri,Mar,Red Soil,43,41,89,7.2,943,74,No
Madurai,May,Loamy,75,22,64,6.7,894,43,No
Dharmapuri,Jan,Black Soil,127,38,69,6.1,553,49,No
Erode,Sep,Clay,115,60,57,7.9,769,40,No
Trichy,Mar,Loamy,42,70,73,5.0,640,68,No
Thoothukudi,Mar,Black Soil,116,61,128,5.5,885,52,No
Karur,Mar,Clay,73,79,66,5.1,790,69,No
Erode,Dec,Red Soil,80,45,97,6.4,808,82,No
Tirunelveli,Sep,Red Soil,92,24,76,7.2,723,82,No
Madurai,Sep,Loamy,117,21,35,8.3,1168,72,No
Villupuram,May,Clay,115,32,113,6.7,889,40,No
Tirunelveli,Sep,Clay,98,42,84,4.8,1015,72,No
Salem,Mar,Sandy Loam,61,62,32,8.2,895,49,No
Cuddalore,Jan,Clay,123,46,41,7.7,1249,79,No
Trichy,Aug,Sandy Loam,77,28,41,6.7,1019,43,No
Madurai,Mar,Loamy,59,64,106,7.5,1249,59,No
Villupuram,May,Red Soil,41,60,78,4.7,425,77,No
Salem,Jan,Clay,64,78,108,6.7,943,85,No
Namakkal,May,Red Soil,75,37,31,7.4,1276,68,No
Dharmapuri,Jan,Red Soil,103,34,50,4.6,1191,89,No
Tirunelveli,Dec,Loamy,70,27,87,4.6,533,60,No
Dharmapuri,Mar,Red Soil,50,41,100,6.3,488,58,No
Dharmapuri,Jun,Red Soil,55,67,43,5.7,581,86,No
Krishnagiri,Jun,Black Soil,104,20,103,5.3,1173,85,No
Thanjavur,Mar,Sandy Loam,33,39,65,4.6,748,49,No
Erode,Oct,Sandy Loam,62,29,90,6.8,989,80,Yes
Trichy,Dec,Sandy Loam,38,32,81,6.4,585,87,No
Coimbatore,Mar,Sandy Loam,110,41,66,6.7,1012,45,No
Madurai,Nov,Loamy,36,79,35,8.2,754,64,No
Trichy,Feb,Sandy Loam,57,29,110,6.3,1052,76,No
Dindigul,Mar,Clay,76,56,64,6.8,944,40,No
Namakkal,Sep,Black Soil,123,40,108,6.3,534,82,No
Dindigul,Feb,Black Soil,90,57,88,7.8,428,83,No
Thanjavur,May,Loamy,90,46,48,6.9,444,86,No
Coimbatore,May,Loamy,126,42,105,8.5,633,78,No
Namakkal,Nov,Clay,42,57,69,8.1,521,82,No
Coimbatore,May,Red Soil,106,43,71,7.0,808,51,No
Dharmapuri,Sep,Red Soil,76,53,84,4.9,712,75,No
Trichy,Mar,Loamy,34,52,104,5.9,556,82,No
Madurai,Sep,Sandy Loam,36,36,98,7.2,1298,58,No
Krishnagiri,Oct,Sandy Loam,95,20,110,4.9,777,68,No
Villupuram,Feb,Black Soil,72,26,39,8.1,1037,65,No
Namakkal,May,Black Soil,92,31,44,6.1,1025,84,No
Madurai,Aug,Clay,100,34,91,7.9,625,57,No
Dharmapuri,Jan,Loamy,112,39,111,6.7,901,83,No
Namakkal,Aug,Sandy Loam,65,55,68,6.5,707,51,No
Cuddalore,Nov,Clay,37,71,30,7.0,779,42,No
Namakkal,Oct,Sandy Loam,71,42,127,7.2,1186,45,No
Dindigul,Feb,Sandy Loam,56,39,35,4.6,827,85,No
Trichy,Aug,Sandy Loam,38,71,64,7.8,669,65,No
Krishnagiri,Oct,Sandy Loam,86,74,62,7.6,562,68,No
Thanjavur,Feb,Red Soil,102,58,89,5.8,1204,56,No
Dharmapuri,Mar,Clay,93,24,100,6.4,881,61,No
Trichy,Apr,Clay,128,44,88,7.7,621,77,No
Villupuram,Jan,Sandy Loam,31,45,33,7.2,922,81,No
Trichy,Nov,Black Soil,102,52,86,5.6,843,45,No
Tirunelveli,Jul,Loamy,115,22,94,5.8,1054,76,No
Karur,Jun,Black Soil,117,62,92,8.1,1183,85,No
Salem,Nov,Black Soil,38,51,57,4.5,1057,70,No
Trichy,Aug,Sandy Loam,108,39,53,7.8,577,55,No
Salem,Sep,Red Soil,60,56,110,7.1,673,72,No
Cuddalore,Dec,Black Soil,122,58,119,4.8,497,59,No
Krishnagiri,Aug,Red Soil,63,23,56,8.3,940,86,No
Erode,Dec,Sandy Loam,113,29,94,7.0,661,44,No
Namakkal,Dec,Red Soil,38,69,109,7.3,1055,59,No
Madurai,Mar,Black Soil,45,20,52,7.9,509,83,No
Namakkal,Aug,Red Soil,73,59,40,5.1,963,50,No
Krishnagiri,Mar,Black Soil,93,56,53,7.3,706,50,No
Coimbatore,Mar,Loamy,98,74,39,4.7,482,52,No
Coimbatore,Jan,Clay,101,15,105,7.9,439,46,No
Krishnagiri,Apr,Black Soil,110,71,72,5.0,814,80,No
Namakkal,Mar,Clay,86,21,108,8.4,537,73,No
Coimbatore,May,Loamy,33,44,53,4.5,1149,89,No
Karur,Sep,Loamy,128,66,37,6.5,592,70,No
Salem,Oct,Red Soil,125,38,91,8.4,1017,48,No
Dharmapuri,Jul,Sandy Loam,56,70,52,6.0,1126,76,No
Salem,Jan,Sandy Loam,47,56,66,6.6,873,88,No
Thoothukudi,Sep,Sandy Loam,108,59,38,5.6,1133,59,No
Thanjavur,May,Clay,56,29,39,6.0,1013,55,No
Madurai,Sep,Black Soil,37,72,63,7.5,683,82,No
Thanjavur,Sep,Loamy,64,21,45,5.1,1114,86,No
Dindigul,Feb,Loamy,106,59,71,4.6,1203,75,No
Salem,Jan,Loamy,80,25,61,7.5,400,77,No
Karur,Dec,Loamy,43,70,78,5.0,822,81,No
Dharmapuri,Sep,Sandy Loam,122,38,58,7.6,911,63,No
Dharmapuri,May,Loamy,34,76,48,6.6,648,79,No
Salem,Oct,Clay,91,40,92,8.1,819,53,No
Thanjavur,Apr,Black Soil,100,72,100,7.1,954,68,No
Tirunelveli,Jun,Black Soil,125,30,96,6.0,785,65,No
Madurai,Apr,Red Soil,128,18,55,7.9,530,50,No
Cuddalore,Jul,Sandy Loam,86,21,71,7.8,1033,47,No
Dindigul,Aug,Sandy Loam,121,41,102,5.6,1099,42,No
Krishnagiri,Dec,Red Soil,126,40,104,8.4,1010,87,No
Namakkal,May,Red Soil,128,64,54,4.7,1170,77,No
Cuddalore,Sep,Sandy Loam,115,58,95,7.9,728,41,No
Tirunelveli,Apr,Loamy,54,22,74,6.7,552,46,No
Krishnagiri,Oct,Black Soil,52,42,103,8.4,932,80,No
Madurai,May,Loamy,56,42,94,8.1,1065,77,No
Salem,Jun,Red Soil,48,77,40,7.0,684,71,No
Tirunelveli,Nov,Red Soil,31,47,94,6.1,1257,66,No
Dindigul,Mar,Clay,91,73,41,7.7,1195,75,No
Coimbatore,Feb,Sandy Loam,88,20,69,5.0,1073,67,No
Dindigul,Apr,Black Soil,43,72,118,6.0,1294,67,No
Dindigul,Aug,Black Soil,51,42,96,6.9,1115,59,No
Krishnagiri,Feb,Loamy,62,40,35,6.6,797,87,No
Madurai,May,Clay,37,18,97,5.9,540,69,No
Coimbatore,Jan,Red Soil,85,16,42,5.7,982,49,No
Salem,Oct,Sandy Loam,118,19,118,8.5,1120,45,No
Coimbatore,Apr,Loamy,48,27,91,6.8,862,40,No
Karur,Jun,Sandy Loam,86,32,91,8.1,480,75,No
Tirunelveli,Nov,Clay,41,71,66,5.8,1167,50,No
Namakkal,Jul,Clay,101,48,99,7.2,1087,81,No
Dindigul,Jul,Black Soil,38,59,129,7.5,698,73,No
Erode,May,Red Soil,100,25,75,7.8,713,75,No
Thoothukudi,Nov,Red Soil,49,46,104,4.8,669,44,No
Cuddalore,Apr,Clay,75,78,71,6.4,980,87,No
Thoothukudi,Dec,Sandy Loam,109,68,77,7.2,603,68,No
Tirunelveli,Mar,Black Soil,54,35,121,7.6,506,49,No
Coimbatore,Jun,Red Soil,91,28,45,5.8,1247,81,No
Villupuram,Feb,Black Soil,113,50,88,5.6,668,40,No
Krishnagiri,Mar,Black Soil,118,27,35,7.3,480,40,No
Thoothukudi,Jul,Black Soil,91,66,47,8.1,712,88,No
Cuddalore,Jan,Red Soil,127,25,61,4.9,1177,71,No
Tirunelveli,Jun,Clay,116,46,79,6.7,981,55,No
Tirunelveli,Jan,Clay,45,42,72,8.3,507,82,No
Coimbatore,Nov,Loamy,81,28,122,5.0,1065,80,No
Salem,Oct,Black Soil,120,46,106,8.4,844,44,No
Erode,Aug,Sandy Loam,33,46,95,7.0,646,48,No
Thanjavur,Nov,Loamy,126,58,94,6.4,969,76,No
Namakkal,Dec,Loamy,116,18,84,8.0,1255,45,No
Dindigul,Nov,Loamy,51,27,79,5.8,522,86,No
Tirunelveli,May,Red Soil,105,58,95,5.1,1214,84,No
Dharmapuri,Jun,Loamy,78,76,63,5.8,658,75,No
Trichy,Oct,Red Soil,65,79,42,7.1,978,67,No
Salem,Sep,Sandy Loam,114,54,124,7.4,1174,43,No
Dindigul,Feb,Sandy Loam,30,45,109,5.7,816,78,No
Thanjavur,Aug,Red Soil,39,56,49,4.7,1277,79,No
Trichy,Jul,Sandy Loam,106,68,49,5.8,565,78,No
Thanjavur,Jul,Red Soil,87,40,43,4.8,793,57,No
Tirunelveli,Dec,Black Soil,84,69,81,6.6,1216,50,No
Dindigul,Jan,Clay,53,19,43,5.8,877,72,No
Trichy,Jun,Red Soil,33,60,89,5.0,689,48,No
Salem,Sep,Clay,115,34,37,4.9,785,45,No
Namakkal,Aug,Clay,104,52,87,5.8,406,40,No
Thanjavur,Sep,Sandy Loam,118,51,30,6.4,454,74,No
Thoothukudi,Feb,Black Soil,122,64,116,5.1,1169,40,No
Erode,May,Sandy Loam,46,63,76,6.7,539,77,No
Karur,Sep,Black Soil,66,63,109,6.4,750,40,No
Trichy,Nov,Red Soil,43,25,65,4.6,1074,79,No
Cuddalore,Oct,Loamy,48,26,70,8.3,519,70,No
Krishnagiri,Nov,Red Soil,68,39,76,8.3,1092,84,No
Erode,Sep,Sandy Loam,52,25,33,6.0,743,81,No
Salem,Jan,Clay,60,56,43,8.3,808,87,No
Madurai,Sep,Sandy Loam,119,62,47,5.4,1105,50,No
Trichy,Apr,Clay,110,43,126,6.6,509,67,No
Madurai,Dec,Sandy Loam,98,43,83,4.9,836,80,No
Erode,Oct,Sandy Loam,78,76,117,6.8,506,41,No
Thanjavur,Feb,Clay,88,34,49,5.3,883,71,No
Erode,Jul,Loamy,43,27,96,8.0,772,53,No
Dindigul,Sep,Sandy Loam,33,67,44,7.4,919,66,No
Madurai,Sep,Black Soil,127,35,39,4.8,1255,54,No
Villupuram,Apr,Clay,51,68,114,6.8,693,71,No
Coimbatore,Sep,Loamy,67,31,49,6.7,1229,50,No
Dharmapuri,Oct,Sandy Loam,74,65,115,5.1,474,87,No
Trichy,Sep,Clay,114,37,91,5.5,977,73,No
Krishnagiri,Sep,Clay,110,77,73,5.4,993,44,No
Salem,Oct,Sandy Loam,60,69,77,6.8,919,45,No
Thanjavur,Apr,Clay,37,25,92,5.3,1111,75,No
Dindigul,Oct,Sandy Loam,87,79,53,5.8,719,59,No
Trichy,Mar,Loamy,91,64,95,7.7,611,79,No
Thoothukudi,Oct,Red Soil,112,17,127,4.9,601,73,No
Erode,Jun,Loamy,30,27,43,7.4,885,54,No
Madurai,Feb,Red Soil,59,32,33,6.0,1090,47,No
Salem,Oct,Black Soil,99,59,72,6.4,1164,66,No
Villupuram,Dec,Clay,45,63,37,8.0,821,62,No
Krishnagiri,Apr,Black Soil,100,51,35,5.1,1186,87,No
Tirunelveli,Feb,Clay,56,59,75,7.1,834,43,No
Coimbatore,Mar,Black Soil,103,24,107,7.5,803,64,No
Trichy,Dec,Loamy,32,55,70,7.1,806,76,No
Tirunelveli,Feb,Red Soil,73,59,77,5.5,667,54,No
Dharmapuri,Feb,Black Soil,105,69,100,7.5,577,59,No
Villupuram,Dec,Black Soil,58,74,67,8.1,566,88,No
Madurai,Jul,Black Soil,90,17,54,6.7,1279,53,No
Salem,Nov,Black Soil,128,18,94,5.7,1019,88,No
Tirunelveli,Jul,Red Soil,101,17,76,8.3,1154,83,No
Tirunelveli,Dec,Black Soil,43,22,47,7.5,506,83,No
Madurai,Apr,Sandy Loam,49,40,47,6.4,767,65,No
Tirunelveli,Jul,Black Soil,38,56,69,6.0,680,76,No
Krishnagiri,Nov,Loamy,63,46,94,7.6,700,82,No
Salem,May,Black Soil,100,77,127,6.0,570,54,No
Villupuram,Sep,Red Soil,91,72,73,5.0,496,50,No
Trichy,Aug,Clay,74,44,36,8.3,857,86,No
Madurai,Jan,Black Soil,56,48,45,5.2,1144,50,No
Erode,Sep,Loamy,79,32,115,7.1,1296,67,No
Krishnagiri,Sep,Sandy Loam,30,52,82,5.7,1267,63,No
Thanjavur,Oct,Black Soil,65,64,127,6.1,758,45,No
Karur,Sep,Clay,86,75,64,6.1,1008,66,No
Thanjavur,Oct,Clay,89,38,101,7.0,897,85,No
Thoothukudi,Apr,Red Soil,76,23,32,5.8,560,83,No
Cuddalore,Nov,Clay,70,28,54,7.3,987,78,No
Krishnagiri,Jun,Red Soil,50,44,122,7.8,509,60,No
Thoothukudi,Nov,Red Soil,89,50,111,6.2,633,55,No
Karur,Jun,Black Soil,70,47,117,5.0,1063,63,No
Villupuram,Aug,Red Soil,96,52,38,4.9,873,70,No
Tirunelveli,Nov,Red Soil,90,61,48,7.3,555,83,No
Namakkal,Feb,Black Soil,99,56,37,6.7,735,47,No
Salem,Mar,Red Soil,96,47,48,7.5,924,47,No
Erode,Mar,Black Soil,76,63,48,5.7,863,47,No
Erode,Jan,Red Soil,71,40,106,7.2,679,77,No
Trichy,Apr,Red Soil,99,78,36,6.8,1237,86,No
Thoothukudi,Aug,Black Soil,122,22,44,7.7,1092,44,No
Villupuram,Sep,Loamy,104,72,45,7.5,1187,58,No
Dharmapuri,Jun,Loamy,88,36,46,8.0,548,81,No
Salem,Aug,Loamy,117,33,85,7.0,1022,70,No
Cuddalore,Feb,Loamy,122,28,30,7.8,1059,80,No
Karur,May,Black Soil,33,70,54,5.4,855,89,No
Salem,Mar,Red Soil,67,39,97,4.7,411,67,No
Karur,Jun,Sandy Loam,51,16,33,7.0,1036,43,No
Salem,May,Black Soil,124,37,77,7.7,457,45,No
Thoothukudi,Apr,Loamy,49,31,83,7.7,743,78,No
Cuddalore,Dec,Sandy Loam,112,17,111,6.9,792,87,No
Dharmapuri,Feb,Red Soil,51,45,77,7.3,446,56,No
Coimbatore,Apr,Red Soil,83,66,94,6.2,465,64,No
Trichy,May,Sandy Loam,100,49,79,4.5,885,58,No
Erode,May,Red Soil,87,39,89,7.8,1075,55,No
Salem,Jun,Loamy,92,28,98,8.1,987,88,No
Tirunelveli,Jun,Loamy,40,34,119,5.9,896,67,No
Namakkal,Sep,Red Soil,106,72,106,5.3,1051,40,No
Namakkal,Feb,Red Soil,91,26,79,8.2,419,73,No
Tirunelveli,Feb,Red Soil,104,69,108,5.5,973,76,No
Trichy,Jan,Red Soil,55,25,68,7.5,643,75,No
Dharmapuri,Aug,Black Soil,85,61,38,4.5,718,41,No
Namakkal,Oct,Loamy,87,48,63,7.4,682,49,No
Thoothukudi,Sep,Black Soil,124,76,33,4.7,847,79,No
Thanjavur,Dec,Loamy,41,77,106,8.1,1134,50,No
Thanjavur,Jul,Loamy,60,40,101,4.5,801,41,No
Thoothukudi,Jan,Black Soil,125,75,87,8.4,1022,46,No
Thanjavur,Jul,Loamy,125,19,69,4.9,1251,61,No
Krishnagiri,Mar,Red Soil,73,25,95,5.8,927,72,No
Villupuram,Dec,Loamy,108,16,99,6.1,1246,44,No
Dharmapuri,May,Black Soil,38,17,118,5.5,723,87,No
Coimbatore,Oct,Red Soil,113,48,105,6.7,1154,83,No
Coimbatore,Jun,Black Soil,56,79,84,5.1,1221,83,No
Madurai,Aug,Loamy,76,74,125,6.1,960,71,No
Coimbatore,Nov,Black Soil,71,38,88,8.1,810,84,No
Erode,May,Black Soil,47,50,122,5.0,497,50,No
